CumulativeMethodScore,CumulativeTaskScore,CumulativeMethodTaskPairScore
1.4491951706915244e-06,5.5742988763694875e-06,6.143157034853818e-05
8.58250742750066e-07,0.0,2.5538154690459275e-06
0.0,0.0,0.0
0.0,0.0,0.0
5.686921264217302e-06,0.0,2.8279566494883756e-05
5.016430337692655e-06,0.0,4.179739407617239e-05
0.0,0.0,0.0
0.0,5.167428880252697e-06,3.431623975263043e-05
0.0,0.0,0.0
2.9354864249173684e-06,3.292862947727475e-06,2.0573124901269487e-05
0.0,0.0,0.0
0.0,0.0,0.0
8.70553463165262e-06,0.0,1.9076362790864643e-05
0.0,8.936311710342825e-07,1.852049964640883e-06
0.0,0.0,0.0
5.23641729822495e-06,0.0,9.241792056581396e-06
6.082387094138911e-06,3.210767077570638e-06,3.1428220743132416e-05
6.101137474350519e-07,6.276117917506302e-06,2.4178200400883564e-06
2.4763707965552014e-06,4.885023677507636e-06,2.251165568009088e-05
0.0,0.0,0.0
0.0,3.760979591774111e-06,7.474579289674646e-06
1.7328507784682622e-06,6.306504465998708e-06,2.460681391933979e-05
0.0,1.1330204510781968e-06,4.120924344136459e-06
3.857517303695929e-06,5.44133843721324e-06,0.00010200615494652817
1.7618852703544483e-06,5.9388959455493636e-06,1.0803608751390003e-05
1.9185602766892214e-06,0.0,2.8371365512225016e-06
0.0,4.0599318951759635e-06,1.3565640807519684e-05
4.33261206343511e-06,0.0,4.33261206343511e-06
0.0,4.478027878475082e-06,0.0
0.0,5.024545309011403e-06,9.69519336467124e-06
0.0,0.0,0.0
5.822481208265574e-06,8.039274816234409e-06,1.3861756024499984e-05
0.0,3.827134724738851e-06,5.1888390408505315e-06
5.607507793908731e-06,0.0,3.096919773856722e-05
6.133653840611349e-06,9.714059835429809e-07,5.88805865692486e-05
7.366784454403089e-06,2.6146540982628973e-06,3.130920970787967e-05
1.6424941431656366e-06,0.0,3.550887367970883e-06
1.6133833455977125e-06,9.570221469305592e-06,2.6940459988542885e-05
0.0,5.684890476337598e-06,8.100076870916854e-06
4.780725614292914e-06,0.0,4.780725614292914e-06
1.0264418022298323e-06,7.252996529284679e-06,1.6052601279658877e-05
0.0,0.0,0.0
0.0,6.539416058071812e-06,0.0
0.0,0.0,0.0
2.4566832191859643e-06,2.7532336719891236e-06,4.2096359252228394e-05
1.942876972096077e-06,3.0703690545932653e-06,4.8979568250206973e-05
0.0,0.0,0.0
6.586038301245218e-06,1.8719296498480597e-06,4.876721610559607e-05
6.494423655793536e-06,0.0,6.494423655793536e-06
8.428540898734703e-06,3.6543533649653054e-06,5.193206991208028e-05
5.070270916959145e-06,1.8388630051515226e-06,3.6378844563992976e-05
6.91780370530397e-07,8.356000895157306e-06,2.3023364333457476e-05
0.0,0.0,0.0
0.0,0.0,0.0
1.5798715558998789e-06,0.0,9.207733259078624e-06
4.349258239713912e-06,0.0,5.911039987914348e-06
2.7121685422335372e-06,0.0,2.7121685422335372e-06
5.7213102534900784e-06,0.0,5.7213102534900784e-06
0.0,3.2917829684663065e-06,0.0
0.0,0.0,0.0
2.8774313326558507e-06,6.088080251439359e-06,2.087978706304415e-05
1.0576062465948657e-05,2.089886162373307e-06,1.59477193233233e-05
0.0,1.2272030478005861e-06,1.3676445702899358e-05
0.0,0.0,0.0
0.0,7.71424545210334e-06,8.086528798073812e-06
0.0,3.296427313192462e-06,4.81539850969237e-06
0.0,0.0,0.0
0.0,6.040360152262881e-06,2.118525751570785e-05
0.0,0.0,0.0
0.0,3.246893458731573e-06,3.246893458731573e-06
5.9014181767219616e-06,0.0,2.5644165116900052e-05
1.4237338083895382e-05,2.401129956565217e-06,1.6638468040460598e-05
0.0,1.9096584561324346e-06,8.307091587997952e-06
0.0,3.6148746419201998e-06,4.317424893928946e-06
8.545628070980291e-07,5.0406477261279e-06,1.228409552094042e-05
2.142478285641615e-06,3.229348868890592e-06,2.508783873264206e-05
0.0,0.0,0.0
6.596981236798729e-06,0.0,8.33855705515008e-06
7.779986052496627e-06,0.0,1.3386647018865704e-05
8.454867598566849e-07,8.058054713730271e-07,3.2214524569852434e-05
2.1822483450455564e-06,0.0,3.9994976092857e-06
4.12959223325784e-06,7.791336721820286e-06,1.1920928955078125e-05
2.8780201440671265e-06,1.92463079197601e-06,1.9752111154925965e-05
1.615877670195064e-06,6.8749875158411265e-06,2.012235462334835e-05
0.0,3.949998628472638e-06,3.949998628472638e-06
8.792880102324974e-06,2.3488501003994996e-06,2.8400938077378586e-05
4.202574263657478e-06,0.0,1.260109711593202e-05
0.0,2.370927431461117e-06,3.7874687643648077e-06
0.0,1.978340267777227e-06,2.9779188562059685e-06
4.172100122506601e-07,1.4348462756059708e-06,1.6800236952043627e-05
3.0994404550560433e-06,0.0,9.946845770367237e-06
1.48283885976779e-06,1.499012967605546e-06,1.8319568263044065e-05
0.0,0.0,0.0
1.1449979207102987e-05,3.2157959410301084e-06,3.523393169629868e-05
1.2384819391468464e-06,0.0,6.529928558656638e-06
0.0,2.750029327695879e-06,0.0
0.0,1.1938060978022924e-05,1.1938060978022924e-05
0.0,3.6671921750562408e-06,6.547317676173978e-06
0.0,3.0776061450549e-06,5.249922895503897e-06
0.0,0.0,0.0
1.4193873474422523e-06,0.0,6.8557332999214525e-06
0.0,3.9635711907725046e-06,4.66221514009562e-05
0.0,0.0,0.0
0.0,0.0,0.0
9.441264025368676e-07,4.539447455817323e-06,4.931432606473333e-05
0.0,0.0,0.0
0.0,0.0,0.0
4.204847047033575e-07,1.0052190368136073e-06,5.423973361167419e-06
5.176049504394463e-06,0.0,2.8949475278665552e-05
0.0,2.0847715976818066e-06,2.7981665736352323e-06
0.0,3.29498420708024e-06,5.503188254514914e-06
8.033149342626154e-06,0.0,1.0923007383999806e-05
1.3477079680095971e-05,0.0,2.897223887628911e-05
3.056073792631062e-06,2.4375719952404107e-06,2.913845681362724e-05
1.5679210367718193e-06,4.015029953124051e-06,3.110073390011558e-05
0.0,3.9422981506337126e-06,1.8878014523177567e-05
0.0,4.3065149009098155e-06,5.842536428812776e-06
0.0,0.0,0.0
0.0,0.0,0.0
1.758238604316237e-06,0.0,0.0
5.430186264427157e-06,0.0,1.0696121510305318e-05
9.072987467301779e-06,4.636614899179652e-06,2.5582233042332522e-05
6.231779669655833e-06,0.0,2.6294964495564052e-05
1.7730156406200116e-06,1.351262896778636e-06,3.846560129557739e-05
7.170684066572537e-06,4.750244888505588e-06,1.1920928955078125e-05
3.369095449577177e-06,1.7103667011001894e-05,2.0472762460579072e-05
0.0,3.8730483066143154e-06,3.8730483066143154e-06
0.0,0.0,0.0
8.80491759501881e-06,1.6313830910385475e-06,3.9603331640695646e-05
0.0,4.011648243070196e-06,7.203698701882839e-06
3.9506674578630784e-06,1.9157437600985655e-06,1.2805143494290902e-05
1.6563927826545938e-06,8.475500339926331e-06,2.9127133734309787e-05
0.0,0.0,0.0
0.0,1.608859978196201e-06,1.0491598079221962e-05
7.620925380312052e-07,9.137502696114733e-06,5.9604644775390625e-06
0.0,0.0,0.0
5.092458034921781e-06,4.9099569961658235e-06,9.359698836442858e-06
0.0,0.0,0.0
7.426760110139128e-06,0.0,7.426760110139128e-06
2.935051471781198e-06,1.5074844709747854e-06,2.7686653829679074e-06
1.1600487112589423e-06,0.0,4.116698418746218e-06
0.0,1.602181076099546e-06,0.0
2.3837683478287413e-06,1.5206517452582528e-06,3.2092140061032166e-05
7.3613709974884035e-06,0.0,8.788974948944623e-06
3.277697166038355e-06,1.972830935575489e-06,3.118612737872079e-05
0.0,1.7778763681668619e-06,0.0
1.4607662691920027e-06,2.6703355539046797e-06,6.606798547290149e-05
3.794997820293003e-06,1.1370065917184736e-06,1.8823342346093686e-05
8.441382781156328e-06,1.8651601452941984e-06,8.189488789233717e-05
3.0473504980351684e-06,2.357789212952883e-06,2.038915622830369e-05
0.0,1.0387461461689219e-06,0.0
3.2614546648133383e-06,0.0,0.0
0.0,6.577041399477269e-06,3.643781988391949e-06
0.0,3.404171091420946e-06,8.676304833895623e-06
4.4786712019717914e-07,2.1438857274228824e-06,8.642719945343455e-05
1.2952567099635352e-06,1.9746069328782858e-06,2.8786918964469555e-05
1.416683105632796e-06,4.383994217305139e-07,3.461515999793272e-05
6.09086021653195e-07,2.967800326835589e-06,7.3260730462090874e-06
4.654060523651851e-07,0.0,4.215734050735783e-06
0.0,4.773920964485646e-06,1.1269526434239988e-05
2.217385224733492e-06,1.3563580522853774e-06,1.4552316986277402e-05
1.1161768686548665e-06,3.5203447747561327e-06,6.202483573480567e-05
2.031795597647741e-06,0.0,1.1939548344537957e-05
4.523500464285123e-06,0.0,9.243661163360054e-06
6.271454092262509e-07,2.1422826140328298e-06,2.2917416946527743e-05
2.272578241371953e-06,2.603720798510292e-06,1.2339554853153686e-05
0.0,6.811247397595262e-06,1.8993388766888046e-05
2.389393775933425e-06,0.0,2.722903937699697e-06
2.7396526756576425e-06,1.2506730402335316e-06,4.786817252206268e-05
4.2707093909520125e-06,4.180819323701965e-06,1.1920928955078127e-05
0.0,2.464127993611353e-06,5.552117534118628e-06
6.410448939877651e-06,5.510480015200473e-06,1.1920928955078125e-05
3.0094874437762375e-06,0.0,3.0094874437762375e-06
2.3999885507940113e-06,3.5604759267450508e-06,5.9604644775390625e-06
2.908744635431757e-06,3.989884339343768e-06,1.2757382010205495e-05
0.0,0.0,0.0
1.605612372336953e-06,9.072718218386034e-07,4.92278352489419e-06
2.1212724702207637e-06,1.3359567242794278e-06,3.838999261400151e-05
0.0,2.3508926598914043e-06,2.3508926598914043e-06
0.0,9.202258683889425e-07,3.0446869778095563e-06
0.0,0.0,0.0
0.0,1.4110639414598384e-06,1.0071670682267285e-05
1.9475992213953728e-06,2.192884041096453e-06,3.535658636459994e-05
2.369684229355767e-06,0.0,6.764978797040273e-06
0.0,6.995833866782936e-06,8.389218470283104e-06
8.351892278393521e-06,0.0,8.351892278393521e-06
2.792251671250654e-06,2.0763430094346316e-06,3.225182115795283e-05
0.0,0.0,0.0
7.055734745327386e-07,4.267910178018451e-06,4.4428793634722457e-05
2.506579098384929e-06,0.0,9.290292185938616e-06
2.6385235162475115e-06,0.0,4.332532056797556e-06
0.0,0.0,0.0
6.46263608543624e-06,0.0,1.8997112512455788e-05
0.0,0.0,0.0
0.0,2.6047192338435694e-06,5.595477329501606e-06
0.0,3.425529191773573e-06,0.0
0.0,0.0,0.0
3.1022911109492444e-07,1.8671062933322317e-06,1.043424622983292e-05
0.0,0.0,0.0
3.0683127379396237e-06,2.9814739044841767e-06,2.1253228641200663e-05
1.1399446193519073e-05,3.2293504360809168e-06,1.1920928955078125e-05
4.611319123845584e-06,1.926040044362561e-06,1.8449905715415623e-05
0.0,0.0,0.0
1.998013731754032e-06,2.8449194592308512e-06,1.1063521822158816e-05
0.0,0.0,0.0
6.784354143170258e-06,5.888957270771782e-06,1.3407855338121173e-05
0.0,0.0,0.0
0.0,0.0,0.0
0.0,3.858308178003031e-06,8.393348117832308e-06
0.0,4.528725842802027e-06,7.618933834286812e-06
2.6714748624045394e-06,1.712237278048615e-06,3.7482060803882426e-06
1.6163038255562566e-06,1.6710921532299438e-06,3.67908679656722e-05
2.4421339103906637e-06,0.0,1.1268105693585506e-05
0.0,5.348259690515679e-06,5.7224329043517766e-06
0.0,0.0,0.0
0.0,1.0601704276021947e-06,2.9272749803051654e-06
2.3790134386560933e-06,2.633839056426603e-06,6.010193626415607e-05
0.0,3.2223062945464936e-06,5.0725135459559305e-06
0.0,0.0,0.0
0.0,8.101481570532167e-06,2.3738805841209346e-05
1.4898744011237275e-06,9.365662530098586e-06,1.8619767755271128e-05
0.0,7.94420014594932e-06,1.1842962643587578e-05
0.0,0.0,0.0
3.7746650154166147e-06,4.1739057694218944e-06,4.20485662627689e-05
1.8976958293447442e-06,0.0,3.960394788613763e-06
7.824140321430031e-06,4.096788633648093e-06,1.1920928955078125e-05
8.026889654678991e-07,0.0,1.7997890692629914e-06
1.1700790979957915e-06,1.6858169050798352e-06,4.6740265121829374e-05
0.0,2.9268161310494403e-06,0.0
5.489081408757748e-06,5.59554569738099e-06,8.062829433262872e-05
0.0,1.3101663954724677e-06,6.175675672150049e-06
0.0,4.670144816249685e-06,8.509633384866188e-06
1.3237950310905751e-06,1.350909076001412e-06,2.6366258723900405e-05
1.4819326540131644e-06,0.0,3.158319078617697e-06
1.6934800018947871e-06,0.0,7.582793070910324e-06
0.0,0.0,0.0
1.0812406825703137e-06,9.726287240442367e-06,5.082566346718687e-05
0.0,5.8380674500191204e-06,0.0
0.0,8.04498934331865e-06,1.0989076907415335e-05
3.2850067289235337e-06,4.69934804213895e-07,7.29563115158296e-05
5.464699180079833e-06,0.0,2.1863248588733058e-05
0.0,2.835904117963073e-06,9.466485758801771e-06
0.0,0.0,0.0
0.0,3.3292022033123822e-06,6.018114704909133e-06
0.0,1.0424455832728014e-06,5.288850175028494e-06
2.680502906560127e-06,0.0,1.4150267591288314e-05
3.2698974186976726e-06,2.69056705884139e-06,5.9604644775390625e-06
7.329419987120061e-06,1.23410988817617e-06,3.398486504754197e-05
7.818110541153568e-06,4.102818413924558e-06,1.1920928955078125e-05
0.0,3.1729409454536026e-06,3.1729409454536026e-06
2.0089123882570635e-06,3.3218817670686465e-06,4.618354831639082e-05
2.5575331911588224e-06,4.132270821638909e-06,2.7294225967426804e-05
5.159736220805556e-06,8.008776227517059e-07,2.5443412772936308e-05
0.0,2.3440808640616477e-06,4.791825493231661e-06
1.35772324725205e-06,3.1471492453807863e-06,2.1975780195412096e-05
2.6665217039581855e-06,0.0,8.620066746756646e-06
2.951325186115485e-06,0.0,1.5592584578846297e-05
2.8843093030186297e-06,1.732853707471001e-06,6.274732628218457e-05
4.541184236629147e-07,1.6133324096552929e-06,4.206275851538502e-05
1.3803674101380421e-06,4.1096301545552465e-06,0.00017951272625018895
2.019405829932242e-06,2.9221340304168532e-06,2.4261496751090624e-05
0.0,2.827138494091406e-06,8.531468260953223e-06
0.0,2.999142691109592e-06,6.346923031256384e-06
0.0,4.9060543262504355e-06,8.676483008196822e-06
0.0,6.166612437687658e-07,9.32034669686239e-06
0.0,3.840875743072402e-06,3.840875743072402e-06
4.346786116577786e-06,0.0,0.0
0.0,7.4635063702529315e-06,5.781834846004968e-06
0.0,5.268691331837449e-06,5.268691331837449e-06
1.6710790733901738e-05,0.0,1.6710790733901738e-05
0.0,0.0,0.0
0.0,3.195573060970966e-06,1.2411217446843087e-05
0.0,9.243013158109284e-06,9.243013158109284e-06
8.813360356201888e-07,7.774170775369425e-06,2.369779620752143e-05
4.667106920943302e-06,2.5363595260081827e-06,5.319985091117375e-05
0.0,7.1932914943061136e-06,1.1493021432626102e-05
0.0,0.0,0.0
4.409167158142349e-06,0.0,1.2890498375077081e-05
1.4470298876013472e-06,4.450262182325329e-06,2.9366885405121958e-05
0.0,1.5975947486078946e-05,2.385341437401077e-05
8.342762599599702e-06,1.2384192934385207e-06,1.5215662324604708e-05
6.389996417632099e-06,2.3709319886533475e-06,1.1406340241023006e-05
0.0,5.3741135009835494e-06,2.5639852262698643e-05
1.0783957678730423e-06,1.8571546838147348e-06,1.1066850851839841e-05
4.245372708520411e-06,4.477398265153607e-06,1.1920928955078123e-05
0.0,5.9900206851754525e-06,7.667560084888397e-06
2.5190215718750366e-06,1.3941111290195224e-06,1.1920928955078123e-05
7.046840467805709e-07,2.6731016803502753e-06,4.652079762263528e-05
5.7162399006365e-07,5.922418331660226e-07,1.3021335013361636e-05
0.0,3.337596974950983e-06,1.0778137143431152e-05
2.04290021782923e-06,1.8886226328232745e-06,2.5491417413796944e-05
0.0,2.025166602640975e-06,2.1168636820700656e-05
1.254250775421746e-06,3.236067539305034e-06,3.3399932098421985e-06
0.0,4.206799220049343e-06,1.2876407989904817e-05
0.0,0.0,0.0
0.0,0.0,0.0
8.873784399188675e-07,0.0,8.16080931179049e-06
0.0,4.1318909372382185e-06,1.5825530202409668e-05
1.923447791194372e-06,5.343852262781767e-06,3.987081979300804e-05
4.1355514325015645e-06,0.0,1.3680079785021107e-05
2.57399453691686e-06,4.232387694438801e-06,1.5911855837714588e-05
0.0,2.1367805870535054e-06,4.296746707237323e-06
4.769711406758707e-06,1.9400835026065314e-06,1.24812589817429e-05
2.5117068149699175e-06,2.11797768258867e-06,1.0782579449239478e-05
0.0,0.0,0.0
0.0,0.0,0.0
0.0,1.5364425224194714e-06,2.1598949814628673e-06
0.0,8.488147819370648e-06,1.4885062794664016e-05
3.1662428174767924e-06,0.0,3.553602590700005e-05
3.4244847006694567e-06,6.12538853804361e-06,3.2998260014471046e-05
3.537692677895146e-07,1.8470342956446296e-06,7.923300289193978e-06
1.6040075665409393e-06,1.1496550470417779e-06,1.5171052106745026e-05
2.3592942735384384e-06,1.990259658856288e-06,2.402634758627672e-05
0.0,0.0,0.0
0.0,3.38265742468944e-06,1.3797148433304844e-05
0.0,1.7193275516670836e-06,1.7193275516670836e-06
0.0,4.300554460397745e-06,0.0
6.481539953575362e-06,0.0,2.451858429661608e-05
0.0,1.578500219134074e-06,8.921712618807457e-06
0.0,1.5002184006189571e-06,5.659791296144914e-06
1.0933744032392696e-06,1.3849003321554604e-06,2.169321749410094e-05
0.0,1.6340328151298307e-06,1.3735293554133872e-05
0.0,0.0,0.0
0.0,9.649716563141973e-06,3.905322152548964e-06
0.0,0.0,0.0
7.148736829750847e-07,1.1518317759869743e-06,1.1920928955078127e-05
0.0,2.054560290776595e-06,6.5390762396544e-06
0.0,9.416067055402351e-07,5.884754582350525e-06
0.0,0.0,0.0
0.0,0.0,0.0
1.8194085644049148e-06,1.1434899587877307e-05,6.557221487737951e-05
0.0,3.3596631795852343e-06,0.0
0.0,0.0,0.0
1.3357270371835515e-06,0.0,0.0
0.0,2.9162924146391517e-06,3.6098281986643954e-05
0.0,1.0716039614246321e-06,8.231666228125148e-06
0.0,7.3947269240261745e-06,1.346456810941552e-05
1.4180508403767058e-06,1.2204336862714662e-06,2.1499414669228024e-05
3.829491707523483e-06,5.458573905626859e-06,2.3731778855344924e-05
1.76679368451449e-06,6.85433279548419e-06,1.5003121318146201e-05
1.1863250778302964e-06,7.448515906128362e-06,2.2242027803880368e-05
4.805887050993452e-06,1.9696006016340547e-06,2.0124613234281066e-05
1.916776830478579e-06,0.0,6.116889396650417e-06
0.0,3.3660098414691513e-06,0.0
2.097540624348619e-06,4.259543031594363e-06,5.805703213164495e-05
0.0,4.157107202805662e-06,1.4455194546261787e-05
0.0,7.611966301494083e-07,2.668282083486369e-06
4.03204281945104e-06,2.062617743086125e-06,3.225620074330402e-05
1.1069482747517266e-06,3.877044077255809e-06,2.7636651500174235e-05
4.71363700509584e-06,2.1621875849946854e-05,2.6335512855042692e-05
5.745627480610801e-06,8.090510634670926e-06,1.6075336758955185e-05
2.3908980936427663e-06,3.1662574255912964e-06,2.008813745829299e-05
1.8525648763869976e-06,2.723593035591686e-06,1.695386376862106e-05
0.0,3.848352891267678e-06,2.755424174280824e-06
2.5807386263286503e-06,2.1863389289177313e-06,1.1191438813644843e-05
0.0,8.788055515743652e-06,3.285733036337103e-05
0.0,4.157271331894779e-06,1.0388619193129407e-05
0.0,5.470468663560785e-06,7.716940555723162e-06
0.0,3.755485470539958e-06,2.001160802430211e-05
3.909425270031663e-06,0.0,2.279996456130158e-05
0.0,0.0,0.0
0.0,4.507440869540037e-06,0.0
3.1012508524303837e-06,0.0,6.486148964040532e-06
9.32935271327867e-06,1.1402720959118022e-05,2.0732073672396692e-05
2.7653158240402864e-06,0.0,5.380581359878095e-06
0.0,3.827077220844555e-06,1.507069191175489e-05
0.0,0.0,0.0
0.0,0.0,0.0
0.0,3.633168885290028e-06,3.633168885290028e-06
0.0,0.0,0.0
1.054879493657649e-06,3.800159296818365e-06,4.7563899438219086e-05
0.0,3.633168885290028e-06,3.633168885290028e-06
2.0548066143230845e-06,0.0,7.376074072493387e-06
0.0,0.0,0.0
0.0,2.8547859980852996e-06,3.5330192557709257e-06
0.0,0.0,0.0
0.0,0.0,0.0
3.4292903146133977e-06,0.0,3.4292903146133977e-06
8.62207683142981e-07,0.0,1.0143840243032439e-05
3.248703874846598e-06,2.5310276290038224e-06,1.1920928955078125e-05
1.975087765570527e-06,1.151989432581021e-06,0.00010854894997721934
0.0,0.0,0.0
2.929928394420236e-06,0.0,2.929928394420236e-06
0.0,0.0,0.0
3.257107454307776e-06,4.595770056653623e-06,1.9193849570381903e-05
0.0,3.4509303365366705e-06,0.0
0.0,0.0,0.0
2.7930641300329493e-06,0.0,4.789024866697575e-06
0.0,0.0,0.0
0.0,2.6908513026287946e-06,2.6908513026287946e-06
0.0,3.494323467780641e-06,3.494323467780641e-06
5.392291499153966e-07,0.0,4.818900531058313e-06
1.0693831502016806e-05,0.0,5.814506279949212e-05
4.07228133158453e-06,2.9635788251914934e-06,1.1920928955078127e-05
2.374063706762498e-06,1.6904693211830546e-06,6.236312017870689e-06
0.0,1.73920773649308e-06,1.3396538127580745e-05
0.0,0.0,0.0
0.0,5.376317342770096e-06,6.899070521217476e-06
5.3389397410520755e-06,0.0,1.5701904412150678e-05
5.59950646056944e-06,6.3214224945086854e-06,2.384185791015625e-05
1.1941084201041524e-06,8.456664592210792e-07,3.172392000527291e-05
3.0499729925934536e-06,1.1641965939782436e-05,1.4691938932375889e-05
3.0993293914702995e-06,2.567573400967601e-06,1.9558184470939875e-05
1.0288562451313445e-06,6.326939230245949e-06,1.90756505932468e-05
1.4607367375432376e-06,3.5952493733712064e-07,7.7447474001371e-06
0.0,3.50016860662954e-06,5.999846976587061e-06
2.0277245801628674e-06,2.1854724225004374e-06,7.307196242531598e-06
0.0,0.0,0.0
0.0,8.448003455927777e-06,1.0415889584344398e-05
0.0,1.8834851002026696e-06,9.452042593755468e-06
0.0,0.0,0.0
0.0,1.244033607684954e-06,7.569682970633366e-06
0.0,1.9012265669071468e-06,6.827072986468454e-06
0.0,1.3884411731518318e-06,1.0353550955408524e-05
0.0,0.0,0.0
0.0,0.0,0.0
0.0,6.419673455454783e-06,6.572910300642832e-06
1.5000659912760351e-06,4.267984306380979e-06,5.066340979244308e-05
0.0,1.5470021611266626e-06,2.893475936967213e-05
7.556555800602303e-06,1.8019904088391757e-06,8.754011543762908e-05
0.0,0.0,0.0
1.5523334281348408e-05,0.0,1.5523334281348408e-05
3.2622095886110486e-06,4.337744832785245e-06,0.0
0.0,2.363275377043932e-06,7.464225360267425e-06
0.0,0.0,0.0
3.2097902598256213e-06,5.689949528533395e-07,3.2466439574233076e-05
0.0,0.0,0.0
3.6287130134535744e-07,5.241300445066495e-06,3.783397602118569e-05
3.6903003105644802e-06,1.9052376104868905e-06,2.5897089378759147e-05
1.3061082468382006e-05,0.0,5.8498976189793464e-05
0.0,8.787854589306674e-07,0.0
3.089416649103114e-06,4.914011097912056e-06,1.871383274243931e-05
5.9440777007948875e-06,3.087997735404578e-06,1.7767339861297272e-05
0.0,0.0,0.0
6.402826650765074e-06,1.7117306493402408e-06,1.88267123036799e-05
3.526169190043299e-06,1.6257205415469684e-06,1.850129320490206e-05
0.0,0.0,0.0
1.872053177380953e-06,2.4300945727140323e-06,3.7067972649265115e-05
2.581678684780222e-06,0.0,8.7392561284344e-06
3.7033768716304605e-07,3.3767307419177875e-06,2.8394545467225468e-05
0.0,0.0,0.0
1.4158903022508533e-06,4.454890359606586e-06,9.604545000806622e-06
1.631395615153937e-06,6.864250620613586e-06,5.962945498617194e-05
4.035261326473324e-06,7.885667628604801e-06,1.1920928955078125e-05
3.678953268073344e-06,2.4996203256352227e-06,4.6550370296433155e-06
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,1.7717792286470645e-06,3.0057177746354756e-06
4.271648500192343e-06,3.4421021752793112e-06,2.9839875305689946e-05
7.002127275021417e-07,0.0,1.202946753728506e-06
8.37953156834992e-07,0.0,2.72238119571601e-06
6.703320993438922e-06,4.50054078517117e-06,9.41964644908082e-05
0.0,0.0,0.0
0.0,7.833682843113218e-06,1.840655405654903e-05
1.8886640574422547e-06,4.5804356050036335e-06,1.8420018822369658e-05
0.0,0.0,0.0
